2017/03/08 02:08:57 INFO  - jmeter.util.JMeterUtils: Setting Locale to en_US 
2017/03/08 02:08:58 INFO  - jmeter.JMeter: Loading user properties from: C:\Oracle\Middleware\Oracle_Home\oracle_common\plugins\maven\com\oracle\maven\oracle-maven-sync\12.1.3\soaApp1\soaDemoSync\target\jmeter\bin\user.properties 
2017/03/08 02:08:58 INFO  - jmeter.JMeter: Loading system properties from: C:\Oracle\Middleware\Oracle_Home\oracle_common\plugins\maven\com\oracle\maven\oracle-maven-sync\12.1.3\soaApp1\soaDemoSync\target\jmeter\bin\system.properties 
2017/03/08 02:08:58 INFO  - jmeter.JMeter: Copyright (c) 1998-2013 The Apache Software Foundation 
2017/03/08 02:08:58 INFO  - jmeter.JMeter: Version 2.10 r1533061 
2017/03/08 02:08:58 INFO  - jmeter.JMeter: java.version=1.8.0_101 
2017/03/08 02:08:58 INFO  - jmeter.JMeter: java.vm.name=Java HotSpot(TM) Client VM 
2017/03/08 02:08:58 INFO  - jmeter.JMeter: os.name=Windows 10 
2017/03/08 02:08:58 INFO  - jmeter.JMeter: os.arch=x86 
2017/03/08 02:08:58 INFO  - jmeter.JMeter: os.version=10.0 
2017/03/08 02:08:58 INFO  - jmeter.JMeter: file.encoding=Cp1252 
2017/03/08 02:08:58 INFO  - jmeter.JMeter: Default Locale=English (United States) 
2017/03/08 02:08:58 INFO  - jmeter.JMeter: JMeter  Locale=English (United States) 
2017/03/08 02:08:58 INFO  - jmeter.JMeter: JMeterHome=C:\Oracle\Middleware\Oracle_Home\oracle_common\plugins\maven\com\oracle\maven\oracle-maven-sync\12.1.3\soaApp1\soaDemoSync\target\jmeter 
2017/03/08 02:08:58 INFO  - jmeter.JMeter: user.dir  =C:\Oracle\Middleware\Oracle_Home\oracle_common\plugins\maven\com\oracle\maven\oracle-maven-sync\12.1.3\soaApp1\soaDemoSync\target\jmeter\bin 
2017/03/08 02:08:58 INFO  - jmeter.JMeter: PWD       =C:\Oracle\Middleware\Oracle_Home\oracle_common\plugins\maven\com\oracle\maven\oracle-maven-sync\12.1.3\soaApp1\soaDemoSync\target\jmeter\bin 
2017/03/08 02:08:58 INFO  - jmeter.JMeter: IP: 192.168.1.8 Name: Suvankar-PC FullName: Suvankar-PC 
2017/03/08 02:08:58 INFO  - jmeter.services.FileServer: Default base='C:\Oracle\Middleware\Oracle_Home\oracle_common\plugins\maven\com\oracle\maven\oracle-maven-sync\12.1.3\soaApp1\soaDemoSync\target\jmeter\bin' 
2017/03/08 02:08:58 INFO  - jmeter.services.FileServer: Set new base='C:\Oracle\Middleware\Oracle_Home\oracle_common\plugins\maven\com\oracle\maven\oracle-maven-sync\12.1.3\soaApp1\soaDemoSync\src\test\jmeter' 
2017/03/08 02:08:58 INFO  - jmeter.JMeter: Loading file: C:\Oracle\Middleware\Oracle_Home\oracle_common\plugins\maven\com\oracle\maven\oracle-maven-sync\12.1.3\soaApp1\soaDemoSync\src\test\jmeter\soaDemoSync.jmx 
2017/03/08 02:08:58 INFO  - jmeter.save.SaveService: Testplan (JMX) version: 2.2. Testlog (JTL) version: 2.2 
2017/03/08 02:08:58 INFO  - jmeter.save.SaveService: Using SaveService properties file encoding UTF-8 
2017/03/08 02:08:58 INFO  - jmeter.save.SaveService: Using SaveService properties version 2.5 
2017/03/08 02:08:58 INFO  - jmeter.save.SaveService: Using SaveService properties file version 1519088 
2017/03/08 02:08:58 INFO  - jmeter.save.SaveService: All converter versions present and correct 
2017/03/08 02:08:58 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Cannot find .className property for htmlParser, using default 
2017/03/08 02:08:58 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/html is  
2017/03/08 02:08:58 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xhtml+xml is  
2017/03/08 02:08:58 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xml is  
2017/03/08 02:08:58 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/xml is  
2017/03/08 02:08:58 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/vnd.wap.wml is org.apache.jmeter.protocol.http.parser.RegexpHTMLParser 
2017/03/08 02:08:58 INFO  - jmeter.protocol.http.sampler.HTTPHCAbstractImpl: Local host = Suvankar-PC 
